line,station,lat,lng,median
RED,Ashmont,42.283883546225326,-71.06343014439001,56800
RED,Harvard,42.37402923068518,-71.11890607237825,65139
RED,Kendall/MIT,42.36241534488427,-71.08619149399847,60543
RED,Capen Street,42.26755305662759,-71.08720482389785,101042
ORANGE,Tufts Medical Center,42.349080007074434,-71.0642815507741,18224
GREEN,Waban,42.3258777163534,-71.23069341947162,$189265.000,249583
GREEN,Kenmore,42.34899686582886,-71.09554476680351,$35262.000,66639
GREEN,Arlington,42.35176844716827,-71.07098957188293,91071
GREEN,Copley,42.34990759622841,-71.07797545385114,
GREEN,Boylston,42.353021315373084,-71.0646021407032,
ORANGE,Chinatown,42.3524741345191,-71.06258053970728,
GREEN/ORANGE,Haymarket,42.36247252009958,-71.05785165680864,
GREEN/ORANGE,North Station,42.36514376204707,-71.05998293525452,
RED,Davis,42.39675185622701,-71.12223401886175,
RED,South Station,42.35259298236356,-71.0551716404797,
ORANGE,Oak Grove,42.43750459704686,-71.07082632854296,
ORANGE,Malden Center,42.42658098118991,-71.07431521650399,
ORANGE,Wellington,42.401740052820436,-71.0771174392871,
ORANGE,Sullivan Square,42.384297418098555,-71.07693157318748,
ORANGE,Community College,42.37390813270764,-71.07033821669407,
GREEN,Lechmere,42.37091787290779,-71.07715770740218,
GREEN,Science Park,42.36674243375159,-71.06774398738429,
BLUE,Bowdoin,42.361160748114436,-71.06183707222274,
BLUE/GREEN,Government Center,42.35929659779449,-71.0594586682209,
BLUE,Aquarium,42.35951696173238,-71.05193843413429,
BLUE,Maverick,42.36899298066133,-71.039579764314,
BLUE,Airport,42.37436270225319,-71.03022450572307,
BLUE,Wood Island,42.37964743566516,-71.02291228733549,
BLUE,Orient Heights,42.38684164355786,-71.00479639667266,
BLUE,Suffolk Downs,42.39049646377985,-70.99714972535004,
BLUE,Beachmont,42.397251645798136,-70.9925322506933,
BLUE,Revere Beach,42.40784240469527,-70.99250348708166,
BLUE,Wonderland,42.413433485863465,-70.99166451429095,
RED,Alewife,42.39612102774624,-71.14207731198773,
RED,Porter,42.38832047964911,-71.1191142186849,
RED,Central,42.3654399386921,-71.1038251795284,
RED,Charles/MGH,42.361167622046175,-71.07108060752533,
RED,Broadway,42.34258168611348,-71.05717003994837,
RED,Andrew,42.33011322504443,-71.05697754583264,
RED,Savin Hill,42.31074782460859,-71.05364006128615,
RED,Fields Corner,42.30000162235686,-71.06192392278753,
RED,Shawmut,42.29310744948501,-71.06582888800298,
RED,Cedar Grove,42.279539566622425,-71.06031736180195,
RED,Butler,42.27241637637205,-71.06246997005772,
RED,Milton,42.27032710895599,-71.06724190301021,
RED,Central Avenue,42.26998517317178,-71.07360913864423,
RED,Valley Road,42.26832588765107,-71.0815036512197,
RED,Mattapan,42.26751187982493,-71.09251236356303,
RED,North Quincy,42.27597638005336,-71.03044263987807,
RED,Wollaston,42.266709771673916,-71.02054283772408,
RED,Quincy Center,42.25208702609175,-71.00564054324272,
RED,Quincy Adams,42.23329368973611,-71.00694130297315,
RED,Braintree,42.20753725718542,-71.00170254298858,
ORANGE,Forest Hills,42.300771241518774,-71.1141914291886,
ORANGE,Green Street,42.30989874395806,-71.10805939486183,
ORANGE,Stony Brook,42.317099799977264,-71.10444126791631,
ORANGE,Jackson Square,42.32317162128204,-71.09993247586226,
ORANGE,Ruggles,42.33666615126503,-71.0895095741927,
ORANGE,Massachusetts Ave,42.34100638628694,-71.08415064991594,
ORANGE,Back Bay,42.347559095487554,-71.07510604125002,
GREEN,Prudential,42.34576811110268,-71.0811990919674,
GREEN,Symphony,42.34272033761167,-71.08494060899912,
GREEN,Northeastern,42.34005063269512,-71.089652055078,
GREEN,Museum Of Fine Arts,42.33792513899184,-71.09497605136787,
GREEN,Longwood Medical Area,42.336141008719395,-71.09956099926085,
GREEN,Brigham Circle,42.334571049762204,-71.1037241871976,
GREEN,Fenwood Road,42.33374540669346,-71.10564567133302,
GREEN,Mission Park,42.333179408881584,-71.10958496307119,
GREEN,Riverway,42.331978008094886,-71.11195066650285,
GREEN,Back Of The Hill,42.329638250860796,-71.11107040777439,
GREEN,Heath Street,42.32831128467958,-71.11028101766621,
GREEN,Hynes Convention Center,42.34798228527379,-71.08731455708377,
GREEN,Blandford Street,42.349198076859544,-71.10005558666813,
GREEN,Boston University East,42.34972114237118,-71.10442793941834,
GREEN,Boston University Central,42.35004075684834,-71.10703612020448,
GREEN,Boston University West,42.35082168230361,-71.11350640706401,
GREEN,Saint Paul Street,42.35116300090318,-71.1163439854194,
GREEN,Pleasant Street,42.351489646570826,-71.11906015500423,
GREEN,Babcock Street,42.35180887468856,-71.12171518949002,
GREEN,Packards Corner,42.35178581368055,-71.12522582974125,
GREEN,Harvard Avenue,42.35041177441603,-71.13100726081865,
GREEN,Griggs Street,42.3488195126397,-71.13436462678962,
GREEN,Allston Street,42.34857609489692,-71.1376368007847,
GREEN,Warren Street,42.34862365011506,-71.14024039474816,
GREEN,Washington Street,42.34412328995152,-71.14254885090168,
GREEN,Sutherland Road,42.34156149782588,-71.14632990199769,
GREEN,Chiswick Road,42.34061808315627,-71.15095131539007,
GREEN,Chestnut Hill Avenue,42.33857776920604,-71.15265529694884,
GREEN,South Street,42.33945403890428,-71.15726165545567,
GREEN,Boston College,42.34015543836912,-71.16702496396962,
GREEN,Cleveland Circle,42.336136714559956,-71.14928663082522,
GREEN,Englewood Avenue,42.33698480397019,-71.14549839254825,
GREEN,Dean Road,42.33771433509884,-71.14195534218005,
GREEN,Tappan Street,42.338518819112636,-71.13844138422456,
GREEN,Washington Square,42.33932741611487,-71.13536707709751,
GREEN,Fairbanks Street,42.33964025574707,-71.1312970329716,
GREEN,Brandon Hall,42.34005363798214,-71.12865720077511,
GREEN,Summit Ave/Winchester St,42.34102836542332,-71.1257878702323,
GREEN,Coolidge Corner,42.34214998585718,-71.12129543723348,
GREEN,Saint Paul Street,42.343210425046884,-71.11718908594055,
GREEN,Kent Street,42.34401012171176,-71.11429128735939,
GREEN,Hawes Street,42.34485991619877,-71.11117480179419,
GREEN,Saint Marys Street,42.3459873717281,-71.10723956414279,
GREEN,Fenway Park,42.34515863668256,-71.10460442780762,
GREEN,Longwood,42.34166911632578,-71.1099345694028,
GREEN,Brookline Village,42.3325946640396,-71.11682793562208,
GREEN,Brookline Hills,42.331294590546754,-71.12672740338446,
GREEN,Beaconsfield,42.33569218497068,-71.14025927244857,
GREEN,Reservoir,42.335139909024804,-71.14837901807377,
GREEN,Chestnut Hill,42.326741781825056,-71.16460873401417,
GREEN,Newton Centre,42.32941548736891,-71.19236980762503,
GREEN,Newton Highlands,42.32235408101263,-71.20550185817031,
GREEN,Eliot,42.31897816723333,-71.21658804666366,
GREEN,Woodland,42.33283282393747,-71.24326789696119,
GREEN,Riverside,42.33739840797618,-71.25255433961999,
ORANGE/RED,Downtown Crossing,42.35543397773555,-71.06051209525852,
GREEN/RED,Park Street,42.3562032683617,-71.06230983519191,
RED,JFK/UMass,42.32063650968845,-71.05236076686124,
BLUE/ORANGE,State,42.358799343175214,-71.05781905415297,
ORANGE,Roxbury Crossing,42.330867645502316,-71.09600501857892,
SILVER,Airport Terminal B2,42.363075210850624,-71.01836771337683,
SILVER,Dry Dock Ave at Design Ctr Pl, layover,42.34464719467524,-71.0346373701664,
SILVER,Lenox Street,42.335166659543674,-71.07854226690915,
SILVER,Massachusetts Ave,42.33624966789419,-71.0771997582821,
SILVER,Newton Street,42.338690853113654,-71.0737572582081,
SILVER,Union Park Street,42.34143480443389,-71.06921600628866,
SILVER,E.Berkeley Street,42.344175487298266,-71.06592636924299,
SILVER,Herald Street,42.34639599701536,-71.0646075133668,
SILVER,Worcester Square,42.337555034770254,-71.07539890802553,
SILVER,Melnea Cass Blvd,42.33270167416718,-71.08119881375998,
SILVER,Tuffs Medical Center,42.34961063024418,-71.06369205121156,
SILVER,Northern Avenue at Tide Street,42.34510349863777,-71.03178183263772,
SILVER,Northern Avenue at Harbor Street,42.34658843916081,-71.03511427300349,
SILVER,Airport Terminal B1,42.36133964715366,-71.01854353607206,
SILVER,Airport Terminal A,42.364725561038355,-71.02115393310328,
SILVER,Airport Terminal C,42.367236296410084,-71.01783243623771,
SILVER,Airport Terminal E,42.36963803991223,-71.021029324076,
SILVER,Silver Line Way,42.34696988822857,-71.03803715084776,
SILVER,World Trade Center,42.34834151518729,-71.04262947987073,
SILVER,Court House,42.35238493740227,-71.04688863191501,
SILVER,South Station,42.352616309404276,-71.05527658260725,
SILVER,88 Black Falcon,42.34366165461653,-71.0263257357076,
SILVER,21 Dry Dock Avenue,42.344737165688485,-71.03088788621851,
SILVER,25 Dry Dock Avenue,42.344764495376694,-71.02897871918151,
SILVER,Black Falcon at Design Center,42.34388371829602,-71.03430510233906,
SILVER,Boylston,42.353370701815905,-71.0641988419556,
SILVER,Downtown Crossing,42.35480806230778,-71.06116276024315,
SILVER,Chinatown,42.352415265575694,-71.06256816840765,
SILVER,Dudley Square,42.3297039932867,-71.08371931369902,
SILVER,South Station Essex St.,42.351898587324676,-71.05612701408653,
SILVER,306 Northern Avenue,42.34760064844477,-71.03635388563173,
SILVER,Melnea Cass Blvd,42.33310536534257,-71.08080190137485,
SILVER,Lenox Street,42.3349292289388,-71.07906038116806,
SILVER,Massachusetts Ave,42.33632435503759,-71.07730467702903,
SILVER,Worcester Square,42.33737104685747,-71.07587716426713,
SILVER,Newton Street,42.338759755189976,-71.07388329919401,
SILVER,Union Park Street,42.341370107123666,-71.06961181220048,
SILVER,E.Berkeley Street,42.344133930202254,-71.06579486653017,
SILVER,Herald Street,42.34641169302489,-71.06471962185381,
SILVER,Tuffs Medical Center,42.34963996319192,-71.0638070555261,
SILVER,Black Falcon corner stop,42.34444982524517,-71.02714744140343,
ORANGE,Assembly,42.392155912672834,-71.07712533816644 